dept_name,gender,emp_no,from_date,to_date,Year_of_Hiring,Active
Finance,F,110114,13-01-91,01-01-99,1990,0
Finance,F,110114,13-01-91,01-01-99,1991,1
Finance,F,110114,13-01-91,01-01-99,1992,1
Finance,F,110114,13-01-91,01-01-99,1993,1
Finance,F,110114,13-01-91,01-01-99,1994,1
Finance,F,110114,13-01-91,01-01-99,1995,1
Finance,F,110114,13-01-91,01-01-99,1996,1
Finance,F,110114,13-01-91,01-01-99,1997,1
Finance,F,110114,13-01-91,01-01-99,1998,1
Finance,F,110114,13-01-91,01-01-99,1999,1
Finance,F,110114,13-01-91,01-01-99,2000,1
Finance,F,110115,30-12-93,29-12-99,1990,0
Finance,F,110115,30-12-93,29-12-99,1991,0
Finance,F,110115,30-12-93,29-12-99,1992,0
Finance,F,110115,30-12-93,29-12-99,1993,1
Finance,F,110115,30-12-93,29-12-99,1994,1
Finance,F,110115,30-12-93,29-12-99,1995,1
Finance,F,110115,30-12-93,29-12-99,1996,1
Finance,F,110115,30-12-93,29-12-99,1997,1
Finance,F,110115,30-12-93,29-12-99,1998,1
Finance,F,110115,30-12-93,29-12-99,1999,1
Finance,F,110115,30-12-93,29-12-99,2000,0
Finance,F,110116,02-08-95,31-07-00,1990,0
Finance,F,110116,02-08-95,31-07-00,1991,0
Finance,F,110116,02-08-95,31-07-00,1992,0
Finance,F,110116,02-08-95,31-07-00,1993,0
Finance,F,110116,02-08-95,31-07-00,1994,0
Finance,F,110116,02-08-95,31-07-00,1995,1
Finance,F,110116,02-08-95,31-07-00,1996,1
Finance,F,110116,02-08-95,31-07-00,1997,1
Finance,F,110116,02-08-95,31-07-00,1998,1
Finance,F,110116,02-08-95,31-07-00,1999,1
Finance,F,110116,02-08-95,31-07-00,2000,1
Finance,M,110117,30-12-95,28-12-02,1990,0
Finance,M,110117,30-12-95,28-12-02,1991,0
Finance,M,110117,30-12-95,28-12-02,1992,0
Finance,M,110117,30-12-95,28-12-02,1993,0
Finance,M,110117,30-12-95,28-12-02,1994,0
Finance,M,110117,30-12-95,28-12-02,1995,1
Finance,M,110117,30-12-95,28-12-02,1996,1
Finance,M,110117,30-12-95,28-12-02,1997,1
Finance,M,110117,30-12-95,28-12-02,1998,1
Finance,M,110117,30-12-95,28-12-02,1999,1
Finance,M,110117,30-12-95,28-12-02,2000,1
Finance,M,110118,20-11-94,19-11-99,1990,0
Finance,M,110118,20-11-94,19-11-99,1991,0
Finance,M,110118,20-11-94,19-11-99,1992,0
Finance,M,110118,20-11-94,19-11-99,1993,0
Finance,M,110118,20-11-94,19-11-99,1994,1
Finance,M,110118,20-11-94,19-11-99,1995,1
Finance,M,110118,20-11-94,19-11-99,1996,1
Finance,M,110118,20-11-94,19-11-99,1997,1
Finance,M,110118,20-11-94,19-11-99,1998,1
Finance,M,110118,20-11-94,19-11-99,1999,1
Finance,M,110118,20-11-94,19-11-99,2000,0
Finance,M,110119,12-10-97,11-10-02,1990,0
Finance,M,110119,12-10-97,11-10-02,1991,0
Finance,M,110119,12-10-97,11-10-02,1992,0
Finance,M,110119,12-10-97,11-10-02,1993,0
Finance,M,110119,12-10-97,11-10-02,1994,0
Finance,M,110119,12-10-97,11-10-02,1995,0
Finance,M,110119,12-10-97,11-10-02,1996,0
Finance,M,110119,12-10-97,11-10-02,1997,1
Finance,M,110119,12-10-97,11-10-02,1998,1
Finance,M,110119,12-10-97,11-10-02,1999,1
Finance,M,110119,12-10-97,11-10-02,2000,1
Finance,M,110120,03-02-97,01-01-99,1990,0
Finance,M,110120,03-02-97,01-01-99,1991,0
Finance,M,110120,03-02-97,01-01-99,1992,0
Finance,M,110120,03-02-97,01-01-99,1993,0
Finance,M,110120,03-02-97,01-01-99,1994,0
Finance,M,110120,03-02-97,01-01-99,1995,0
Finance,M,110120,03-02-97,01-01-99,1996,0
Finance,M,110120,03-02-97,01-01-99,1997,1
Finance,M,110120,03-02-97,01-01-99,1998,1
Finance,M,110120,03-02-97,01-01-99,1999,1
Finance,M,110120,03-02-97,01-01-99,2000,1
Finance,M,110121,29-12-98,27-12-04,1990,0
Finance,M,110121,29-12-98,27-12-04,1991,0
Finance,M,110121,29-12-98,27-12-04,1992,0
Finance,M,110121,29-12-98,27-12-04,1993,0
Finance,M,110121,29-12-98,27-12-04,1994,0
Finance,M,110121,29-12-98,27-12-04,1995,0
Finance,M,110121,29-12-98,27-12-04,1996,0
Finance,M,110121,29-12-98,27-12-04,1997,0
Finance,M,110121,29-12-98,27-12-04,1998,1
Finance,M,110121,29-12-98,27-12-04,1999,1
Finance,M,110121,29-12-98,27-12-04,2000,1
Finance,F,110122,06-01-95,04-01-01,1990,0
Finance,F,110122,06-01-95,04-01-01,1991,0
Finance,F,110122,06-01-95,04-01-01,1992,0
Finance,F,110122,06-01-95,04-01-01,1993,0
Finance,F,110122,06-01-95,04-01-01,1994,0
Finance,F,110122,06-01-95,04-01-01,1995,1
Finance,F,110122,06-01-95,04-01-01,1996,1
Finance,F,110122,06-01-95,04-01-01,1997,1
Finance,F,110122,06-01-95,04-01-01,1998,1
Finance,F,110122,06-01-95,04-01-01,1999,1
Finance,F,110122,06-01-95,04-01-01,2000,1
Finance,M,110123,09-08-96,08-08-01,1990,0
Finance,M,110123,09-08-96,08-08-01,1991,0
Finance,M,110123,09-08-96,08-08-01,1992,0
Finance,M,110123,09-08-96,08-08-01,1993,0
Finance,M,110123,09-08-96,08-08-01,1994,0
Finance,M,110123,09-08-96,08-08-01,1995,0
Finance,M,110123,09-08-96,08-08-01,1996,1
Finance,M,110123,09-08-96,08-08-01,1997,1
Finance,M,110123,09-08-96,08-08-01,1998,1
Finance,M,110123,09-08-96,08-08-01,1999,1
Finance,M,110123,09-08-96,08-08-01,2000,1
Finance,M,110124,08-06-93,06-06-01,1990,0
Finance,M,110124,08-06-93,06-06-01,1991,0
Finance,M,110124,08-06-93,06-06-01,1992,0
Finance,M,110124,08-06-93,06-06-01,1993,1
Finance,M,110124,08-06-93,06-06-01,1994,1
Finance,M,110124,08-06-93,06-06-01,1995,1
Finance,M,110124,08-06-93,06-06-01,1996,1
Finance,M,110124,08-06-93,06-06-01,1997,1
Finance,M,110124,08-06-93,06-06-01,1998,1
Finance,M,110124,08-06-93,06-06-01,1999,1
Finance,M,110124,08-06-93,06-06-01,2000,1
Finance,M,110125,30-12-93,28-12-00,1990,0
Finance,M,110125,30-12-93,28-12-00,1991,0
Finance,M,110125,30-12-93,28-12-00,1992,0
Finance,M,110125,30-12-93,28-12-00,1993,1
Finance,M,110125,30-12-93,28-12-00,1994,1
Finance,M,110125,30-12-93,28-12-00,1995,1
Finance,M,110125,30-12-93,28-12-00,1996,1
Finance,M,110125,30-12-93,28-12-00,1997,1
Finance,M,110125,30-12-93,28-12-00,1998,1
Finance,M,110125,30-12-93,28-12-00,1999,1
Finance,M,110125,30-12-93,28-12-00,2000,1
Finance,M,110126,29-05-99,27-05-00,1990,0
Finance,M,110126,29-05-99,27-05-00,1991,0
Finance,M,110126,29-05-99,27-05-00,1992,0
Finance,M,110126,29-05-99,27-05-00,1993,0
Finance,M,110126,29-05-99,27-05-00,1994,0
Finance,M,110126,29-05-99,27-05-00,1995,0
Finance,M,110126,29-05-99,27-05-00,1996,0
Finance,M,110126,29-05-99,27-05-00,1997,0
Finance,M,110126,29-05-99,27-05-00,1998,0
Finance,M,110126,29-05-99,27-05-00,1999,1
Finance,M,110126,29-05-99,27-05-00,2000,1
Finance,M,110127,29-05-00,01-01-99,1990,0
Finance,M,110127,29-05-00,01-01-99,1991,0
Finance,M,110127,29-05-00,01-01-99,1992,0
Finance,M,110127,29-05-00,01-01-99,1993,0
Finance,M,110127,29-05-00,01-01-99,1994,0
Finance,M,110127,29-05-00,01-01-99,1995,0
Finance,M,110127,29-05-00,01-01-99,1996,0
Finance,M,110127,29-05-00,01-01-99,1997,0
Finance,M,110127,29-05-00,01-01-99,1998,0
Finance,M,110127,29-05-00,01-01-99,1999,0
Finance,M,110127,29-05-00,01-01-99,2000,1
Human Resources,F,110183,31-12-90,29-12-96,1990,1
Human Resources,F,110183,31-12-90,29-12-96,1991,1
Human Resources,F,110183,31-12-90,29-12-96,1992,1
Human Resources,F,110183,31-12-90,29-12-96,1993,1
Human Resources,F,110183,31-12-90,29-12-96,1994,1
Human Resources,F,110183,31-12-90,29-12-96,1995,1
Human Resources,F,110183,31-12-90,29-12-96,1996,1
Human Resources,F,110183,31-12-90,29-12-96,1997,0
Human Resources,F,110183,31-12-90,29-12-96,1998,0
Human Resources,F,110183,31-12-90,29-12-96,1999,0
Human Resources,F,110183,31-12-90,29-12-96,2000,0
Human Resources,F,110228,02-08-92,01-08-97,1990,0
Human Resources,F,110228,02-08-92,01-08-97,1991,0
Human Resources,F,110228,02-08-92,01-08-97,1992,1
Human Resources,F,110228,02-08-92,01-08-97,1993,1
Human Resources,F,110228,02-08-92,01-08-97,1994,1
Human Resources,F,110228,02-08-92,01-08-97,1995,1
Human Resources,F,110228,02-08-92,01-08-97,1996,1
Human Resources,F,110228,02-08-92,01-08-97,1997,1
Human Resources,F,110228,02-08-92,01-08-97,1998,0
Human Resources,F,110228,02-08-92,01-08-97,1999,0
Human Resources,F,110228,02-08-92,01-08-97,2000,0
Human Resources,M,110229,25-11-94,23-11-01,1990,0
Human Resources,M,110229,25-11-94,23-11-01,1991,0
Human Resources,M,110229,25-11-94,23-11-01,1992,0
Human Resources,M,110229,25-11-94,23-11-01,1993,0
Human Resources,M,110229,25-11-94,23-11-01,1994,1
Human Resources,M,110229,25-11-94,23-11-01,1995,1
Human Resources,M,110229,25-11-94,23-11-01,1996,1
Human Resources,M,110229,25-11-94,23-11-01,1997,1
Human Resources,M,110229,25-11-94,23-11-01,1998,1
Human Resources,M,110229,25-11-94,23-11-01,1999,1
Human Resources,M,110229,25-11-94,23-11-01,2000,1
Human Resources,M,110230,16-10-93,15-10-98,1990,0
Human Resources,M,110230,16-10-93,15-10-98,1991,0
Human Resources,M,110230,16-10-93,15-10-98,1992,0
Human Resources,M,110230,16-10-93,15-10-98,1993,1
Human Resources,M,110230,16-10-93,15-10-98,1994,1
Human Resources,M,110230,16-10-93,15-10-98,1995,1
Human Resources,M,110230,16-10-93,15-10-98,1996,1
Human Resources,M,110230,16-10-93,15-10-98,1997,1
Human Resources,M,110230,16-10-93,15-10-98,1998,1
Human Resources,M,110230,16-10-93,15-10-98,1999,0
Human Resources,M,110230,16-10-93,15-10-98,2000,0
Human Resources,M,110231,07-09-96,06-09-01,1990,0
Human Resources,M,110231,07-09-96,06-09-01,1991,0
Human Resources,M,110231,07-09-96,06-09-01,1992,0
Human Resources,M,110231,07-09-96,06-09-01,1993,0
Human Resources,M,110231,07-09-96,06-09-01,1994,0
Human Resources,M,110231,07-09-96,06-09-01,1995,0
Human Resources,M,110231,07-09-96,06-09-01,1996,1
Human Resources,M,110231,07-09-96,06-09-01,1997,1
Human Resources,M,110231,07-09-96,06-09-01,1998,1
Human Resources,M,110231,07-09-96,06-09-01,1999,1
Human Resources,M,110231,07-09-96,06-09-01,2000,1
Human Resources,M,110232,31-12-95,01-01-99,1990,0
Human Resources,M,110232,31-12-95,01-01-99,1991,0
Human Resources,M,110232,31-12-95,01-01-99,1992,0
Human Resources,M,110232,31-12-95,01-01-99,1993,0
Human Resources,M,110232,31-12-95,01-01-99,1994,0
Human Resources,M,110232,31-12-95,01-01-99,1995,1
Human Resources,M,110232,31-12-95,01-01-99,1996,1
Human Resources,M,110232,31-12-95,01-01-99,1997,1
Human Resources,M,110232,31-12-95,01-01-99,1998,1
Human Resources,M,110232,31-12-95,01-01-99,1999,1
Human Resources,M,110232,31-12-95,01-01-99,2000,1
Human Resources,M,110233,24-11-97,23-11-03,1990,0
Human Resources,M,110233,24-11-97,23-11-03,1991,0
Human Resources,M,110233,24-11-97,23-11-03,1992,0
Human Resources,M,110233,24-11-97,23-11-03,1993,0
Human Resources,M,110233,24-11-97,23-11-03,1994,0
Human Resources,M,110233,24-11-97,23-11-03,1995,0
Human Resources,M,110233,24-11-97,23-11-03,1996,0
Human Resources,M,110233,24-11-97,23-11-03,1997,1
Human Resources,M,110233,24-11-97,23-11-03,1998,1
Human Resources,M,110233,24-11-97,23-11-03,1999,1
Human Resources,M,110233,24-11-97,23-11-03,2000,1
Human Resources,F,110234,02-12-93,01-12-99,1990,0
Human Resources,F,110234,02-12-93,01-12-99,1991,0
Human Resources,F,110234,02-12-93,01-12-99,1992,0
Human Resources,F,110234,02-12-93,01-12-99,1993,1
Human Resources,F,110234,02-12-93,01-12-99,1994,1
Human Resources,F,110234,02-12-93,01-12-99,1995,1
Human Resources,F,110234,02-12-93,01-12-99,1996,1
Human Resources,F,110234,02-12-93,01-12-99,1997,1
Human Resources,F,110234,02-12-93,01-12-99,1998,1
Human Resources,F,110234,02-12-93,01-12-99,1999,1
Human Resources,F,110234,02-12-93,01-12-99,2000,0
Human Resources,M,110235,06-07-95,04-07-00,1990,0
Human Resources,M,110235,06-07-95,04-07-00,1991,0
Human Resources,M,110235,06-07-95,04-07-00,1992,0
Human Resources,M,110235,06-07-95,04-07-00,1993,0
Human Resources,M,110235,06-07-95,04-07-00,1994,0
Human Resources,M,110235,06-07-95,04-07-00,1995,1
Human Resources,M,110235,06-07-95,04-07-00,1996,1
Human Resources,M,110235,06-07-95,04-07-00,1997,1
Human Resources,M,110235,06-07-95,04-07-00,1998,1
Human Resources,M,110235,06-07-95,04-07-00,1999,1
Human Resources,M,110235,06-07-95,04-07-00,2000,1
Human Resources,F,110236,04-05-92,02-05-00,1990,0
Human Resources,F,110236,04-05-92,02-05-00,1991,0
Human Resources,F,110236,04-05-92,02-05-00,1992,1
Human Resources,F,110236,04-05-92,02-05-00,1993,1
Human Resources,F,110236,04-05-92,02-05-00,1994,1
Human Resources,F,110236,04-05-92,02-05-00,1995,1
Human Resources,F,110236,04-05-92,02-05-00,1996,1
Human Resources,F,110236,04-05-92,02-05-00,1997,1
Human Resources,F,110236,04-05-92,02-05-00,1998,1
Human Resources,F,110236,04-05-92,02-05-00,1999,1
Human Resources,F,110236,04-05-92,02-05-00,2000,1
Human Resources,M,110237,01-10-92,29-09-00,1990,0
Human Resources,M,110237,01-10-92,29-09-00,1991,0
Human Resources,M,110237,01-10-92,29-09-00,1992,1
Human Resources,M,110237,01-10-92,29-09-00,1993,1
Human Resources,M,110237,01-10-92,29-09-00,1994,1
Human Resources,M,110237,01-10-92,29-09-00,1995,1
Human Resources,M,110237,01-10-92,29-09-00,1996,1
Human Resources,M,110237,01-10-92,29-09-00,1997,1
Human Resources,M,110237,01-10-92,29-09-00,1998,1
Human Resources,M,110237,01-10-92,29-09-00,1999,1
Human Resources,M,110237,01-10-92,29-09-00,2000,1
Human Resources,F,110238,15-05-94,27-05-00,1990,0
Human Resources,F,110238,15-05-94,27-05-00,1991,0
Human Resources,F,110238,15-05-94,27-05-00,1992,0
Human Resources,F,110238,15-05-94,27-05-00,1993,0
Human Resources,F,110238,15-05-94,27-05-00,1994,1
Human Resources,F,110238,15-05-94,27-05-00,1995,1
Human Resources,F,110238,15-05-94,27-05-00,1996,1
Human Resources,F,110238,15-05-94,27-05-00,1997,1
Human Resources,F,110238,15-05-94,27-05-00,1998,1
Human Resources,F,110238,15-05-94,27-05-00,1999,1
Human Resources,F,110238,15-05-94,27-05-00,2000,1
Human Resources,M,110239,29-05-97,27-05-00,1990,0
Human Resources,M,110239,29-05-97,27-05-00,1991,0
Human Resources,M,110239,29-05-97,27-05-00,1992,0
Human Resources,M,110239,29-05-97,27-05-00,1993,0
Human Resources,M,110239,29-05-97,27-05-00,1994,0
Human Resources,M,110239,29-05-97,27-05-00,1995,0
Human Resources,M,110239,29-05-97,27-05-00,1996,0
Human Resources,M,110239,29-05-97,27-05-00,1997,1
Human Resources,M,110239,29-05-97,27-05-00,1998,1
Human Resources,M,110239,29-05-97,27-05-00,1999,1
Human Resources,M,110239,29-05-97,27-05-00,2000,1
Human Resources,F,110240,29-05-00,01-01-99,1990,0
Human Resources,F,110240,29-05-00,01-01-99,1991,0
Human Resources,F,110240,29-05-00,01-01-99,1992,0
Human Resources,F,110240,29-05-00,01-01-99,1993,0
Human Resources,F,110240,29-05-00,01-01-99,1994,0
Human Resources,F,110240,29-05-00,01-01-99,1995,0
Human Resources,F,110240,29-05-00,01-01-99,1996,0
Human Resources,F,110240,29-05-00,01-01-99,1997,0
Human Resources,F,110240,29-05-00,01-01-99,1998,0
Human Resources,F,110240,29-05-00,01-01-99,1999,0
Human Resources,F,110240,29-05-00,01-01-99,2000,1
Production,F,110303,30-12-92,29-12-99,1990,0
Production,F,110303,30-12-92,29-12-99,1991,0
Production,F,110303,30-12-92,29-12-99,1992,1
Production,F,110303,30-12-92,29-12-99,1993,1
Production,F,110303,30-12-92,29-12-99,1994,1
Production,F,110303,30-12-92,29-12-99,1995,1
Production,F,110303,30-12-92,29-12-99,1996,1
Production,F,110303,30-12-92,29-12-99,1997,1
Production,F,110303,30-12-92,29-12-99,1998,1
Production,F,110303,30-12-92,29-12-99,1999,1
Production,F,110303,30-12-92,29-12-99,2000,0
Production,F,110344,21-11-91,19-11-96,1990,0
Production,F,110344,21-11-91,19-11-96,1991,1
Production,F,110344,21-11-91,19-11-96,1992,1
Production,F,110344,21-11-91,19-11-96,1993,1
Production,F,110344,21-11-91,19-11-96,1994,1
Production,F,110344,21-11-91,19-11-96,1995,1
Production,F,110344,21-11-91,19-11-96,1996,1
Production,F,110344,21-11-91,19-11-96,1997,0
Production,F,110344,21-11-91,19-11-96,1998,0
Production,F,110344,21-11-91,19-11-96,1999,0
Production,F,110344,21-11-91,19-11-96,2000,0
Production,M,110386,13-10-94,12-10-99,1990,0
Production,M,110386,13-10-94,12-10-99,1991,0
Production,M,110386,13-10-94,12-10-99,1992,0
Production,M,110386,13-10-94,12-10-99,1993,0
Production,M,110386,13-10-94,12-10-99,1994,1
Production,M,110386,13-10-94,12-10-99,1995,1
Production,M,110386,13-10-94,12-10-99,1996,1
Production,M,110386,13-10-94,12-10-99,1997,1
Production,M,110386,13-10-94,12-10-99,1998,1
Production,M,110386,13-10-94,12-10-99,1999,1
Production,M,110386,13-10-94,12-10-99,2000,0
Production,M,110420,04-02-94,01-01-99,1990,0
Production,M,110420,04-02-94,01-01-99,1991,0
Production,M,110420,04-02-94,01-01-99,1992,0
Production,M,110420,04-02-94,01-01-99,1993,0
Production,M,110420,04-02-94,01-01-99,1994,1
Production,M,110420,04-02-94,01-01-99,1995,1
Production,M,110420,04-02-94,01-01-99,1996,1
Production,M,110420,04-02-94,01-01-99,1997,1
Production,M,110420,04-02-94,01-01-99,1998,1
Production,M,110420,04-02-94,01-01-99,1999,1
Production,M,110420,04-02-94,01-01-99,2000,1
Production,M,110421,30-01-91,07-06-96,1990,0
Production,M,110421,30-01-91,07-06-96,1991,1
